"","date","text","month"
"97","2020-03-29","Hey ⁦@SpeakerPelosi⁩ if you don’t think, by Easter, full 28 days into 15 days to slow the spread, ⁦@WhiteHouse⁩ ⁦@realDonaldTrump⁩ along with #COVID19 task force isn’t looking at the REAL data, NOT guesses, failed estimates, apex averted! https://t.co/ML3mjA5nyT","March"
"98","2020-03-29","L'@AouSenese ringrazia le #Forzedellordine per l'affettuoso saluto portato ai #Professionisti dell' #ospedale #Lescotte impegnati nell' #EMERGENZACOVID19  #coronavirus Grazie di cuore a @_Carabinieri_  @poliziadistato @GDF @ComuneDiSiena https://t.co/ISUomL9C4H","March"
"99","2020-03-29","#CoronaVirus live news: New York, New Jersey and Connecticut told to halt non-essential travel.
https://t.co/pVRbC6VaaF","March"
"100","2020-03-29","KRK reviews #CoronaVirus and #China Plan! https://t.co/zsRCJaBsGm via @YouTube","March"
"101","2020-03-29","Six feet apart is better than six feet under. Stay home. Stay safe. #Covid_19 #StayAtHomeAndStaySafe #coronavirus","March"
"102","2020-03-29","It's impossible to wear a mask and glasses at the same time. If I wanna see then I shouldn't breathe, if I breathe then I can't see.. #Covid_19","March"
"103","2020-03-29","بین الاقوامی جریدے ""THE INDEPENDENT"" کی جانب سے کرونا کے خلاف جنگ لڑنے پر مراد علی شاہ کو خراج تحسین
#Covid_19
#CoronaUpdate
#SindhGovt #karachi
#WhenCoronaVirusIsOver
@BBhuttoZardari @MuradAliShahPPP https://t.co/8OhleAQMmX","March"
"104","2020-03-29","I got a seasonal job @Columbia1938 for the winter @wvpremoutlets and was fortunate to stay on as an hourly worker, getting a shift a week for some extra cash. After #coronavirus hit and we were closed, they have continued to make sure I get some financial relief.","March"
"105","2020-03-29","I think, it's time to treat the health workers to have working schedule like the oilfield guys...in order to survive the long working hours, high risk tasks and long time away from their families...😢
#Coronavirus
#dirumahaja

Photo source: https://t.co/NITTltUFvC https://t.co/3M1TnyriZz","March"
"106","2020-03-29","@KilroyFSU @ScottFist You’ve seen reporters gleeful in reporting that the U.S. has more #coronavirus cases than #China???","March"
"107","2020-03-29","Έγιναν δύο νέες εισαγωγές μέχρι το μεσημέρι - Πόσοι αναμένεται να λάβουν εξιτήριο
#alphanewslive #Cyprus #Coronavirus
https://t.co/G6ne8CKf9q","March"
"108","2020-03-29","https://t.co/nX9JpYSrNk
#newpodcast #podcast #covid19 #lettherecordreflect #spotify #episode1 #urbannews #interviews #streetnews #StayAtHomeAndStaySafe #realisrare #Trapaholik3rd #uniqueecelebrity","March"
"109","2020-03-29","سنه ٢٠٢٠
أغرب سنه مرت علينا

#كورونا #StayHomeStaySafe
#Covid_19
#البحرين","March"
"110","2020-03-29","Shout out to @CrackerBarrel for providing lunch today at the hospital for #frontline #HealthCareWorkers 👏🏼#CoronavirusUSA #CoronavirusPandemic #Knoxville #Tennessee","March"
"111","2020-03-29","@chiragmehtaabvp @CMOGuj @PradipsinhGuj @imBhupendrasinh @GTUoffice @gujuni1949 @GujEduDept @abpasmitatv @tv9gujarati In the midst of great pandemic #Covid19 we request @CMOGuj @pradipsinhguj @imbhupendrasinh to consider a small request of promoting students of all universities across the state for this semester. #MassPromotion
@GTUoffice @gujuni1949 @gujedudept  @abpasmitatv @tv9gujarati","March"
